db_id,question,query,generated_query,res_gt,res_pred,hard_label,soft_label,partial_label,hardness,lang,process_time
criminal_offences_registered_by_police,"Which offences had over 10,000 incidents in Switzerland in 2022. Provide the criminal codes and the number of incidents.","SELECT T.offence_criminal_code,
  SUM(T.number_criminal_offences_registered) AS offences_per_year
FROM criminal_offences_registered_by_police AS T
JOIN spatial_unit AS S ON T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Switzerland'
  AND S.country = 'TRUE'
  AND T.year = 2022
  AND T.number_criminal_offences_registered > 10000
  AND T.offence_criminal_code != 'Offence - total'
GROUP BY T.year, T.offence_criminal_code
ORDER BY offences_per_year DESC;","SELECT offence_criminal_code, number_criminal_offences_registered FROM experiment.criminal_offences_registered_by_police WHERE country = TRUE AND year = 2022 AND number_criminal_offences_registered > 10000","[('Vehicle theft (art. 139)', Decimal('46385')), ('Theft (art. 139)', Decimal('45695')), ('Unlawful entry + theft (art. 186)', Decimal('40567')), ('Criminal damage (art. 144)', Decimal('39859')), ('Criminal damage + theft (art. 144)', Decimal('33959')), ('Burglary (art. 139)', Decimal('25452')), ('Fraud (art. 146)', Decimal('24195')), ('Shoplifting (art. 139)', Decimal('19781')), ('Acts of aggression (art. 126)', Decimal('14106')), ('Insult (art. 177)', Decimal('12030'))]","[('Error', '(psycopg2.errors.UndefinedColumn) column ""country"" does not exist\nLINE 1: ...ment.criminal_offences_registered_by_police WHERE country = ...\n                                                             ^\n\n[SQL: SELECT offence_criminal_code, number_criminal_offences_registered FROM experiment.criminal_offences_registered_by_police WHERE country = TRUE AND year = 2022 AND number_criminal_offences_registered > 10000]\n(Background on this error at: https://sqlalche.me/e/14/f405)')]",False,False,False,unknown,en,7.872371897101402
criminal_offences_registered_by_police,What is the most committed crime in Switzerland?,"SELECT T.offence_criminal_code AS most_common_criminal_offence
FROM criminal_offences_registered_by_police AS T
JOIN spatial_unit AS S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Switzerland'
  AND S.country = 'TRUE'
  AND T.offence_criminal_code != 'Offence - total'
  AND T.number_criminal_offences_registered IS NOT NULL
GROUP BY T.offence_criminal_code
ORDER BY SUM(T.number_criminal_offences_registered) DESC LIMIT 1;","SELECT offence_criminal_code, SUM(number_criminal_offences_registered) as total_offences FROM experiment.criminal_offences_registered_by_police WHERE country = true AND canton = true AND district = true AND municipal = true GROUP BY offence_criminal_code ORDER BY total_offences DESC LIMIT 1","[('Theft (art. 139)',)]","[('Error', '(psycopg2.errors.UndefinedColumn) column ""country"" does not exist\nLINE 1: ...ment.criminal_offences_registered_by_police WHERE country = ...\n                                                             ^\n\n[SQL: SELECT offence_criminal_code, SUM(number_criminal_offences_registered) as total_offences FROM experiment.criminal_offences_registered_by_police WHERE country = true AND canton = true AND district = true AND municipal = true GROUP BY offence_criminal_code ORDER BY total_offences DESC LIMIT 1]\n(Background on this error at: https://sqlalche.me/e/14/f405)')]",False,False,False,unknown,en,9.77284912765026
criminal_offences_registered_by_police,What was the clearance rate for bribery in 2021 in Switzerland,"SELECT 100 * SUM(T.number_criminal_offences_solved) / SUM(T.number_criminal_offences_registered)
AS clearance_rate_for_bribery
FROM criminal_offences_registered_by_police AS T
JOIN spatial_unit AS S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Switzerland'
  AND S.country = 'TRUE'
  AND T.year = 2021
  AND T.number_criminal_offences_registered IS NOT NULL
  AND T.offence_category = 'Bribery';","SELECT    (number_criminal_offences_solved / NULLIF(number_criminal_offences_registered, 0)) * 100   AS clearance_rate FROM   experiment.criminal_offences_registered_by_police WHERE   offence_criminal_code = 'Bribery'   AND year = 2021   AND country = true   AND canton = true   AND solved_unsolved IS NOT NULL;","[(Decimal('90.0000000000000000'),)]","[('Error', '(psycopg2.errors.UndefinedColumn) column ""country"" does not exist\nLINE 1: ...criminal_code = \'Bribery\'   AND year = 2021   AND country = ...\n                                                             ^\n\n[SQL: SELECT    (number_criminal_offences_solved / NULLIF(number_criminal_offences_registered, 0)) * 100   AS clearance_rate FROM   experiment.criminal_offences_registered_by_police WHERE   offence_criminal_code = \'Bribery\'   AND year = 2021   AND country = true   AND canton = true   AND solved_unsolved IS NOT NULL;]\n(Background on this error at: https://sqlalche.me/e/14/f405)')]",False,False,False,unknown,en,13.98011645488441
number_of_plantations_in_swiss_forest,List for each year the number of forests in Kanton Uri?,"SELECT T.year, SUM(T.number_of_plantations) AS number_of_plantations_canton_uri
FROM number_of_plantations_in_swiss_forest as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE' AND S.name_de LIKE '%Uri%'
  AND T.type_of_owner = 'Type of owners - total'
  AND T.wood_species = 'Species - total'
  AND T.forest_zone != 'Switzerland'
  AND T.number_of_plantations != 0
GROUP BY T.year
ORDER BY T.year DESC;","SELECT year, COUNT(DISTINCT forest_zone) as number_of_forests FROM experiment.number_of_plantations_in_swiss_forest WHERE type_of_owner = 'Public forest' AND forest_zone LIKE 'Uri%' GROUP BY year ORDER BY year;","[(2022, Decimal('4730')), (2021, Decimal('7115')), (2020, Decimal('4870')), (2019, Decimal('3310')), (2018, Decimal('9007')), (2017, Decimal('8527')), (2016, Decimal('1633')), (2015, Decimal('4818')), (2014, Decimal('2650')), (2013, Decimal('8402'))]",[],False,False,False,extra,en,8.472832903265953
number_of_plantations_in_swiss_forest,"What were proportions, in percent, of deciduous and coniferous forests in Switzerland in 2020?","SELECT
  ROUND(100 * SUM(CASE WHEN LOWER(wood_species) LIKE '%deciduous%'
       THEN number_of_plantations ELSE 0 END) /
  SUM(CASE WHEN LOWER(wood_species) LIKE '%total%'
       THEN number_of_plantations ELSE 0 END),
  2) AS percentage_deciduous_forests,
    ROUND(100 * SUM(CASE WHEN LOWER(wood_species) LIKE '%conifers%'
       THEN number_of_plantations ELSE 0 END) /
   SUM(CASE WHEN LOWER(wood_species) LIKE '%total%'
       THEN number_of_plantations ELSE 0 END),
  2) AS percentage_coniferous_forests
FROM number_of_plantations_in_swiss_forest as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.country = 'TRUE'
  AND T.year = 2020
  AND S.name = 'Switzerland'
  AND T.type_of_owner = 'Type of owners - total';","SELECT CASE       WHEN wood_species = 'Hardwood (deciduous)' THEN 'Deciduous'       WHEN wood_species = 'Softwood (conifers)' THEN 'Coniferous'       ELSE 'Other'     END AS forest_type,     SUM(number_of_plantations) AS number_of_plantations   FROM     experiment.number_of_plantations_in_swiss_forest   WHERE     forest_zone = 'Switzerland' AND     valid_until >= '2020-01-01' AND     (valid_until = 'infinity' OR valid_until IS NULL)   GROUP BY     forest_type )","[(Decimal('43.83'), Decimal('56.17'))]","[('Error', '(psycopg2.errors.SyntaxError) syntax error at or near "")""\nLINE 1: ...finity\' OR valid_until IS NULL)   GROUP BY     forest_type )\n                                                                      ^\n\n[SQL: SELECT CASE       WHEN wood_species = \'Hardwood (deciduous)\' THEN \'Deciduous\'       WHEN wood_species = \'Softwood (conifers)\' THEN \'Coniferous\'       ELSE \'Other\'     END AS forest_type,     SUM(number_of_plantations) AS number_of_plantations   FROM     experiment.number_of_plantations_in_swiss_forest   WHERE     forest_zone = \'Switzerland\' AND     valid_until >= \'2020-01-01\' AND     (valid_until = \'infinity\' OR valid_until IS NULL)   GROUP BY     forest_type )]\n(Background on this error at: https://sqlalche.me/e/14/f405)')]",False,False,False,unknown,en,26.92970453575253
number_of_plantations_in_swiss_forest,By 2022: Which three forest zones had the most plantations in Switzerland? Provide the forest zones together with the number of plantations.,"SELECT T.forest_zone, SUM(T.number_of_plantations) as number_of_plantations
FROM number_of_plantations_in_swiss_forest as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.country = 'TRUE'
  AND T.type_of_owner = 'Type of owners - total'
  AND T.year = 2022
  AND T.number_of_plantations != 0 AND number_of_plantations IS NOT NULL
  AND T.forest_zone != 'Switzerland'
GROUP BY T.forest_zone
ORDER BY number_of_plantations DESC LIMIT 3;","SELECT forest_zone, SUM(number_of_plantations) AS total_plantations FROM experiment.number_of_plantations_in_swiss_forest WHERE valid_until < '2022-01-01' GROUP BY forest_zone ORDER BY total_plantations DESC LIMIT 3","[('Central Plain', Decimal('869094')), ('Jura', Decimal('229224')), ('Prealps', Decimal('218916'))]","[('Error', '(psycopg2.errors.UndefinedColumn) column ""valid_until"" does not exist\nLINE 1: ...iment.number_of_plantations_in_swiss_forest WHERE valid_unti...\n                                                             ^\n\n[SQL: SELECT forest_zone, SUM(number_of_plantations) AS total_plantations FROM experiment.number_of_plantations_in_swiss_forest WHERE valid_until < \'2022-01-01\' GROUP BY forest_zone ORDER BY total_plantations DESC LIMIT 3]\n(Background on this error at: https://sqlalche.me/e/14/f405)')]",False,False,False,unknown,en,8.321651989594102
tourism_economy_by_canton,How many FTE were allocated to tourism were there in Switzerland 2019?,"SELECT T.total_full_time_employment_of_tourism
FROM tourism_economy_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.country = 'TRUE'
    AND S.name = 'Switzerland'
    AND T.year = 2019;",SELECT SUM(total_full_time_employment_of_tourism) FROM experiment.tourism_economy_by_canton WHERE spatialunit_uid IN ( spatialunit_uid FROM experiment.spatial_unit WHERE country = true) AND year = 2019,"[(Decimal('174219.51000000000931'),)]","[('Error', '(psycopg2.errors.SyntaxError) syntax error at or near ""FROM""\nLINE 1: ...canton WHERE spatialunit_uid IN ( spatialunit_uid FROM exper...\n                                                             ^\n\n[SQL: SELECT SUM(total_full_time_employment_of_tourism) FROM experiment.tourism_economy_by_canton WHERE spatialunit_uid IN ( spatialunit_uid FROM experiment.spatial_unit WHERE country = true) AND year = 2019]\n(Background on this error at: https://sqlalche.me/e/14/f405)')]",False,False,False,medium,en,7.809730354696512
tourism_economy_by_canton,Which canton has the most employees in the tourism sector in 2019?,"SELECT S.name AS canton
FROM tourism_economy_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
    AND T.year = 2019
ORDER BY T.total_full_time_employment_of_tourism DESC LIMIT 1;",SELECT spatialunit_uid FROM experiment.tourism_economy_by_canton WHERE year = 2019 AND total_full_time_employment_of_tourism = (   MAX(total_full_time_employment_of_tourism)   FROM experiment.tourism_economy_by_canton   WHERE year = 2,"[('Canton of Zurich',)]","[('Error', '(psycopg2.errors.SyntaxError) syntax error at or near ""FROM""\nLINE 1: ... (   MAX(total_full_time_employment_of_tourism)   FROM exper...\n                                                             ^\n\n[SQL: SELECT spatialunit_uid FROM experiment.tourism_economy_by_canton WHERE year = 2019 AND total_full_time_employment_of_tourism = (   MAX(total_full_time_employment_of_tourism)   FROM experiment.tourism_economy_by_canton   WHERE year = 2]\n(Background on this error at: https://sqlalche.me/e/14/f405)')]",False,False,False,extra,en,9.795939603820443
tourism_economy_by_canton,What canton got the most money from tourism in 2016?,"SELECT S.name AS canton
FROM tourism_economy_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
    AND T.year = 2016
ORDER BY T.mio_chf_gross_value_added_of_tourism DESC LIMIT 1;","SELECT su.spatialunit_uid, tebc.mio_chf_gross_value_added_of_tourism FROM experiment.spatial_unit su JOIN experiment.tourism_economy_by_canton tebc ON su.spatialunit_uid = tebc.spatialunit_uid WHERE su.canton = TRUE AND tebc.year = 2","[('Canton of Zurich',)]",[],False,False,False,extra,en,10.599167423322797
employees_farmholdings_agricultural_area_livestock_per_canton,What kind of animal farms existed in Kanton Uri in 2012? Give the number of each farm type.,"SELECT beef_cattle_and_cows_farm, horse_and_other_equine_farm,
  sheep_farm, goat_farm, pig_farms, poultry_farm, farms_with_other_animals
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name LIKE '%Uri%'
    AND S.canton = 'TRUE'
    AND T.year = 2012
    AND T.farmholding_system = 'Farmholding system - total';","SELECT farmholding_system, COUNT(*) as number_of_farms FROM experiment.employees_farmholdings_agricultural_area_livestock_per_canton JOIN experiment.spatial_unit ON experiment.employees_farmholdings_agricultural_area_livestock_per_canton.spatialunit_uid = experiment.spatial_unit.spatialunit_uid WHERE experiment.spatial_unit.canton = TRUE AND experiment.spatial_unit.valid_from <= '2012-01-01' AND experiment.spatial_unit.valid_until >= '2012-01-01' GROUP BY farmholding_system","[(Decimal('508'), Decimal('29'), Decimal('186'), Decimal('122'), Decimal('44'), Decimal('154'), Decimal('45'))]","[('Conventional farming', 702), ('Farmholding system - total', 702), ('Not defined', 702), ('Organic farming', 702)]",False,False,False,hard,en,19.607005124911662
